10992,16,10
0.23895,0.91749,-0.51650,-0.14477,0.21202,-1.05844,-0.82485,-1.48802,-1.66604,-0.39251,-0.12113,0.67014,2.01382,1.66083,-0.17451,1.93297,2,2,2,2,2,2,2,2,1,2
-1.13306,0.23923,-0.51650,0.84674,-0.22788,0.34920,-0.72673,0.01675,-1.22659,-0.68608,-0.63070,-1.28422,0.62583,-0.99346,1.26232,-0.63856,3,2,1,3,3,3,3,3,3,3
-1.13306,-1.73391,-0.36465,-0.82317,0.65191,0.90485,1.59539,1.85593,0.56048,1.51573,-0.28204,0.59640,-1.20989,-0.29972,-0.74925,-0.80627,2,1,2,2,2,2,2,2,2,2
-1.13306,0.91749,-1.27575,0.42926,-1.31295,0.08990,-1.05379,0.01675,0.85344,0.01116,1.05893,0.37515,0.84970,-0.36005,0.47206,-0.80627,4,2,4,2,1,3,4,2,4,3
-1.13306,-1.11731,0.31867,-0.04040,1.47305,1.27528,0.97397,1.18714,0.09174,0.96527,-0.55024,0.19077,-0.98602,-0.45054,-0.00688,-0.80627,3,1,3,2,3,3,3,2,3,3
1.78612,0.91749,1.79921,0.79455,-0.02259,0.31216,-1.11921,0.08363,-1.66604,-0.64939,-0.63070,-1.28422,0.80493,-0.57119,-0.65346,-0.24724,5,3,2,5,5,4,1,4,5,5
-1.13306,0.91749,-1.42760,-0.61443,-0.69710,-1.13253,1.10480,-0.31764,1.26359,1.36894,0.33480,2.29264,0.44674,0.42417,0.44811,-0.80627,2,2,3,3,1,3,3,2,3,3
-1.13306,-2.84380,-1.46557,-1.13628,-1.13700,-2.24383,0.38527,-1.48802,1.26359,0.34143,0.76391,2.36639,-0.85170,1.96245,-1.13240,0.78696,1,3,3,3,3,3,3,3,2,3
-0.75357,0.23923,-1.08594,-1.76249,0.65191,-1.02140,0.15633,-1.48802,-1.54885,-0.61269,-1.62302,0.96514,-1.03079,1.78148,1.26232,1.98887,2,2,2,2,2,1,2,2,2,2
0.53087,0.91749,-0.70632,-0.61443,-1.45959,-1.28070,-0.85756,-1.48802,0.53119,-0.75948,1.05893,0.55952,0.89448,1.57034,-0.50978,1.56960,1,2,2,2,2,2,2,2,2,2
1.02713,0.11591,-0.36465,0.84674,-1.45959,0.12694,0.35256,0.65210,1.26359,1.66251,1.05893,0.11702,1.29744,-1.05378,-0.70135,-0.77831,2,2,2,2,2,2,2,2,2,1
0.26815,0.67085,0.81218,-0.97972,1.12114,-1.42888,-0.98838,-1.48802,-1.05082,-0.02554,0.49572,1.18639,2.01382,1.96245,-1.13240,1.56960,2,2,2,2,2,2,2,2,1,2
1.78612,0.91749,1.19181,0.79455,-0.40384,0.46033,-0.56320,0.31771,0.64837,0.48822,0.09343,-0.80485,-1.61285,-1.05378,-1.13240,-0.75036,5,2,5,3,4,1,4,5,5,4
1.52339,-0.68568,0.50848,0.84674,-1.45959,0.79372,-0.92297,0.48491,0.70696,1.22215,1.05893,0.15390,1.07357,-0.93313,-0.62951,-0.80627,4,4,4,3,3,2,4,4,4,1
-1.13306,-0.00742,-0.09892,0.84674,0.91585,0.83076,1.17021,0.18395,0.79485,-0.79617,-0.06749,-1.28422,-0.09055,-0.39021,1.26232,-0.13543,4,4,2,3,3,4,4,1,3,4
-0.11135,-0.56236,0.62237,0.84674,1.47305,0.97894,0.54880,0.71898,0.70696,0.15794,0.57618,-0.95235,-1.03079,-1.05378,-1.13240,-0.33109,3,2,3,1,3,3,3,3,3,3
0.32653,-0.06908,0.96403,0.84674,0.73989,0.34920,-0.00720,0.21739,1.26359,0.30473,0.97847,-0.80485,-0.26964,-1.05378,-1.13240,-0.61061,4,4,4,1,4,2,4,4,4,3
