528,10,11
-0.48918,-1.13577,-0.29973,1.63149,0.30677,1.60825,-0.84686,0.18757,-0.97882,-1.30305,1,2,4,5,6,6,6,6,5,3,6
-0.17069,-1.06852,-0.33213,1.09287,0.17229,2.08052,-0.79465,0.15564,-0.57010,-0.72069,2,1,3,5,6,6,6,6,4,5,5
1.06143,-0.72538,-1.52296,-0.49176,-0.44047,1.50330,-1.24577,0.43462,-0.87381,0.06354,5,3,1,2,5,4,5,5,4,5,2
0.89095,0.06350,-1.41765,0.63362,-0.92014,0.73316,-1.22071,-0.30654,0.28613,-1.26911,6,6,5,1,2,4,5,6,5,5,3
0.57348,0.17472,-0.53736,0.69867,-1.72421,0.27632,0.78639,-0.95358,0.88064,-0.55634,6,7,6,5,2,1,4,7,5,6,3
0.31419,0.15403,-0.41449,0.39033,-1.66183,0.41677,0.41671,-1.11492,0.81763,-0.50096,5,5,5,4,2,1,4,5,4,5,3
-0.32892,0.67995,0.02025,0.68045,-2.22606,0.48931,0.63601,0.05480,1.04219,-0.50275,7,7,7,6,5,4,1,3,2,5,6
-0.79747,0.49114,0.77229,1.62108,-1.97652,0.01241,-0.94502,0.96570,1.36206,-0.38663,4,4,4,4,4,4,2,1,2,3,4
-0.71478,0.32819,-0.66292,0.21209,-0.39610,1.68851,-1.10584,0.85814,0.16335,-0.62422,5,5,6,6,4,5,3,4,1,2,3
-0.49837,0.06609,-1.25563,1.36999,0.62978,1.53108,-1.00977,0.47832,0.53007,-1.34235,4,5,5,5,6,6,6,7,2,1,3
0.13045,0.00315,-0.93565,0.27584,-0.61653,1.23630,-1.23742,0.43966,0.40406,-1.31913,7,6,6,3,2,6,5,7,4,5,1
-0.50347,-1.17457,-0.20522,1.53522,0.23191,1.82124,-0.77376,0.20101,-0.85443,-1.30127,1,2,5,6,6,6,6,6,4,3,5
-0.07882,-1.12025,-0.55626,1.09027,0.19170,2.05274,-0.86148,0.56067,-0.81727,-0.43308,2,1,3,5,5,5,5,5,4,4,5
1.04611,-0.67365,-1.59857,-0.52559,-0.43631,1.56658,-1.34811,0.49680,-1.02567,0.10284,4,3,1,2,4,3,4,4,3,4,2
0.87360,0.04195,-1.42845,0.59328,-0.79259,0.34115,-0.65054,-0.70485,0.62539,-1.20659,6,5,5,1,2,3,5,6,5,6,4
0.63269,0.35233,-0.77768,0.53084,-1.63271,0.67760,0.35615,-0.78047,0.93233,-0.97972,6,7,7,4,1,2,4,7,5,6,3
0.34074,0.23076,-0.39154,0.35910,-1.77412,0.54641,0.47519,-1.13341,0.84671,-0.66710,5,5,5,4,2,1,3,5,4,5,3
-0.43100,0.55063,0.12152,0.82877,-2.16784,0.05562,0.67152,-0.10486,1.10358,-0.31160,7,7,7,6,5,6,1,2,3,4,7
-0.80767,0.44372,0.77634,1.62238,-2.10268,-0.02772,-0.93876,1.05477,1.39922,-0.37234,5,6,6,6,5,5,3,1,2,4,6
-0.63618,0.20576,-1.01531,0.10540,-0.36144,1.41842,-0.31637,0.18589,1.06642,-0.88504,5,5,6,4,3,3,4,6,1,1,2
-0.52389,0.06523,-1.29209,1.42593,0.60067,1.52337,-0.98262,0.55058,0.32651,-1.15836,3,4,5,5,5,5,5,5,2,1,4
0.21824,-0.07444,-0.97075,0.34219,-0.72051,1.10357,-1.21027,0.81444,0.32005,-1.35307,6,7,6,3,2,5,6,7,4,6,1
-0.51572,-1.20560,-0.26058,1.64710,0.27072,1.69931,-0.78629,0.25647,-0.65895,-1.35129,1,2,5,6,6,6,6,6,4,3,5
-0.00532,-1.14439,-0.70612,0.88731,0.12655,2.06200,-0.48554,0.51361,-0.36170,-0.60815,2,1,3,5,5,6,5,6,4,5,5
1.07674,-0.60381,-1.69713,-0.38248,-0.23390,1.49559,-1.39197,0.49176,-0.94813,-0.11867,5,3,1,2,5,4,5,5,5,5,3
0.86543,0.00919,-1.43385,0.64272,-0.83280,0.54950,-1.05572,-0.35191,0.48645,-1.36200,8,7,6,1,3,4,5,8,5,7,2
0.53571,0.35492,-0.91945,0.50221,-1.41090,0.78718,-0.18479,-0.50317,0.65770,-1.07261,5,5,5,3,1,2,4,5,4,5,2
0.27847,0.34112,-0.51575,0.20428,-1.61885,0.35967,0.89917,-1.34348,0.76755,-0.56706,5,5,5,5,2,1,3,5,5,5,4
