20640,4,4
-1.32780,1.05252,0.98212,-0.80480,2,3,4,1
-1.32281,1.04316,-0.60700,2.04584,3,4,2,1
-1.33279,1.03848,1.85614,-0.53573,3,2,4,1
-1.33779,1.03848,1.85614,-0.62420,2,4,3,1
-1.33779,1.03848,1.85614,-0.46239,2,4,3,1
-1.33779,1.03848,1.85614,-0.78692,2,4,3,1
-1.33779,1.03380,1.85614,-0.04619,3,4,1,2
-1.33779,1.03380,1.85614,0.21463,2,3,1,4
-1.34278,1.03380,1.06158,-0.03702,1,3,2,4
-1.33779,1.03380,1.85614,0.41861,2,3,1,4
-1.34278,1.03848,1.85614,-0.19883,1,4,2,3
-1.34278,1.03848,1.85614,0.39752,2,3,1,4
-1.34278,1.03848,1.85614,-0.06636,2,3,1,4
-1.34278,1.03380,1.85614,-0.88914,2,4,3,1
-1.34278,1.03848,1.85614,0.00332,2,3,1,4
-1.34278,1.03848,1.69722,-0.69479,1,3,2,4
-1.34777,1.03848,1.85614,-0.30700,2,3,1,4
-1.34777,1.03848,1.85614,-0.64529,2,3,1,4
-1.34278,1.03380,1.69722,-0.18187,1,3,2,4
-1.34777,1.03380,1.85614,-0.51923,1,3,2,4
-1.34777,1.03848,0.90266,-0.86393,1,3,2,4
-1.34777,1.03848,1.06158,-0.45689,2,3,1,4
-1.34777,1.03380,1.85614,-0.09157,1,3,2,4
-1.34777,1.03380,1.85614,-0.43443,2,3,1,4
-1.34777,1.03380,1.85614,-0.18874,2,3,1,4
-1.35276,1.03848,0.98212,-0.96294,3,2,4,1
-1.35276,1.03848,1.61777,-0.69021,2,3,1,4
-1.35276,1.03848,1.85614,-0.33817,2,3,1,4
-1.35276,1.03380,1.69722,-0.25383,2,3,1,4
-1.35276,1.03380,1.85614,-0.87401,1,3,2,4
-1.35276,1.03380,1.61777,-0.32992,1,3,2,4
-1.35276,1.03380,1.85614,-0.22129,1,3,2,4
-1.34777,1.03380,1.53831,-0.32717,1,2,3,4
-1.34777,1.02911,1.61777,-0.44956,1,3,2,4
-1.34777,1.02911,1.77668,0.01340,2,3,1,4
-1.34777,1.02911,1.61777,-0.65124,1,3,2,4
-1.34777,1.02911,1.53831,-0.38401,1,3,2,4
-1.35276,1.02911,1.85614,-0.51556,2,3,1,4
-1.34278,1.02911,1.85614,-0.53436,2,4,3,1
-1.34278,1.02911,1.85614,-0.09340,2,3,1,4
-1.34278,1.02911,1.85614,-0.44497,2,3,1,4
-1.34278,1.02911,1.77668,-0.77913,1,3,2,4
