2310,18,7
1.27591,0.94953,2.41015,-0.19451,-0.39298,-0.11509,-0.36387,-0.13092,0.59141,0.56007,0.71298,0.46959,-0.76529,1.29620,-1.42873,0.70092,-0.47259,-0.43852,6,4,3,2,5,1,7
-0.16330,0.11451,-0.35697,-0.19451,-0.59882,-0.12171,-0.57932,-0.13396,-0.94725,-0.93677,-0.95646,-0.93592,0.86538,-0.83839,0.55271,-0.99208,2.51022,-0.49203,3,7,2,5,1,6,4
1.05660,-1.43375,-0.35697,-0.19451,-0.35181,-0.11009,-0.36387,-0.12273,2.25232,2.25671,2.19609,2.29063,-1.79164,1.47219,-0.69772,2.20495,-0.99666,-0.60636,5,1,7,2,6,3,4
-1.27355,0.86255,-0.35697,-0.19451,-0.06363,-0.08758,1.82136,-0.02541,0.17134,0.19221,0.19990,0.11516,0.05005,0.33109,-0.61115,0.18059,-0.70071,-0.41154,5,6,3,2,4,1,7
-0.87605,1.28006,-0.35697,-0.19451,-0.16655,-0.09352,0.05163,-0.10743,0.32850,0.32540,0.39901,0.24349,-0.29527,0.73984,-0.95742,0.38251,-0.54298,-0.42669,4,6,3,2,5,1,7
0.33014,1.07130,-0.35697,-0.19451,-0.12538,-0.10349,0.17474,-0.10743,0.32171,0.35711,0.35306,0.24654,0.05964,0.47302,-0.86124,0.33592,-0.66140,-0.38171,4,6,3,2,5,1,7
0.98807,1.83674,-0.35697,-0.19451,-0.18713,-0.09221,-0.34848,-0.13054,-0.50583,-0.53402,-0.60419,-0.35538,0.15556,-1.07115,1.65885,-0.55718,-0.39935,2.59782,3,7,4,5,2,6,1
-1.31467,-0.21601,-0.35697,-0.19451,-0.55765,-0.12194,-0.50237,-0.13759,-0.82889,-0.74015,-0.86967,-0.85648,1.47928,-0.95193,0.12949,-0.89112,0.60120,0.30093,1,7,3,5,2,6,4
-1.69846,-0.73790,-0.35697,-0.19451,3.80626,5.83651,1.88292,3.35171,-0.41173,-0.53719,-0.31319,-0.40427,-0.80365,0.31974,0.26415,-0.33973,0.73755,-0.69597,4,7,1,2,3,5,6
-0.76640,-0.66831,2.41015,-0.19451,0.45099,0.05570,0.42096,0.02035,-0.40882,-0.35325,-0.36935,-0.50510,0.83660,-0.07198,-0.71696,-0.39668,0.04604,-0.19218,4,7,3,2,1,5,6
