40768,9,5
1.38973,-1.16587,0.29596,0.39634,-0.88031,0.27371,-0.79477,0.71893,0.27371,5,3,4,1,2
-0.04342,-1.49189,-1.71582,1.15064,0.92138,0.34672,-1.28025,1.33509,-1.47187,2,3,4,1,5
-0.95953,-0.35082,0.56396,0.09531,1.19111,0.73958,0.27330,-0.09454,0.25983,1,2,3,5,4
1.40014,1.42494,1.54201,1.65581,0.21592,0.84735,0.43628,1.09971,-0.65287,4,2,3,1,5
1.01149,1.23072,-0.48022,1.18870,-1.18809,1.55658,-1.34267,-0.72109,-0.29542,4,1,5,3,2
-0.60211,0.31509,-1.43390,1.47588,1.47814,0.46145,-0.24340,-0.60340,-1.61763,1,2,3,4,5
0.21684,1.34517,-1.70886,0.65931,0.76576,-1.01611,-0.77049,-0.75224,-1.32265,1,4,3,2,5
-0.06424,0.38446,0.00707,0.24756,1.43664,0.98294,-1.03057,-0.25031,1.14824,1,3,5,4,2
0.43545,-1.05835,0.79368,0.44132,0.14676,-0.06700,-0.14283,-1.65918,0.92961,2,3,4,5,1
-1.00464,0.05844,-1.62881,0.37904,0.77959,0.05121,-0.45146,0.79855,0.27024,2,4,5,1,3
-1.44187,-0.02133,-0.03818,1.08144,-0.32009,-0.03223,-0.28848,-0.54109,1.66879,4,2,3,5,1
0.81716,0.91857,0.00011,0.17490,0.13292,-0.03223,1.50434,-0.01146,-0.38565,2,4,1,3,5
0.25154,-1.55778,0.58833,-1.16070,0.82801,0.52751,-0.22953,0.48354,-1.49270,1,2,4,3,5
-0.40431,-0.35776,-0.83176,1.14026,1.67179,0.37106,1.05007,0.09931,-1.18036,1,3,2,4,5
0.55690,-0.26758,1.11389,-1.63819,0.16405,0.25981,-1.09646,1.41471,-0.25378,3,2,5,1,4
0.09191,-1.39131,1.16262,0.02957,-0.68666,-0.40423,1.31362,-0.46493,-1.10402,4,2,1,3,5
1.17458,1.08852,-0.95010,1.59007,0.78651,-0.96396,0.94604,-0.65532,1.05801,3,5,2,4,1
-0.92483,0.40873,-1.68798,-1.40636,1.38131,1.42099,-1.04791,0.94393,-0.11844,2,1,5,3,4
1.45566,0.53706,-0.65076,0.84615,-0.39271,-0.16782,-0.53122,0.79855,-1.27406,3,2,4,1,5
-0.98035,-1.05141,1.07909,0.38250,-1.23650,-0.70321,1.71587,-1.12609,1.09966,5,3,1,4,2
0.84839,-0.73233,1.28444,-1.55514,1.59572,-0.40423,-1.11726,0.70855,1.07189,1,4,5,3,2
-1.23020,-0.19822,1.15566,0.72159,-1.46474,-0.85966,1.16797,1.43202,-0.30931,5,4,2,1,3
-0.88319,1.62610,-1.05451,1.61775,-0.75928,-1.45764,1.09515,-1.55533,0.59993,3,4,1,5,2
0.96291,0.59602,0.29944,0.97417,0.19171,-1.68014,-1.55767,-1.25071,1.37381,2,5,4,3,1
0.08497,1.41107,-0.47325,0.72159,-0.19906,0.24590,1.58410,-1.12263,-0.42383,3,2,1,5,4
1.02190,1.49777,-0.92225,-0.93925,-0.32701,-0.98482,0.66168,0.31393,-0.65634,3,5,1,2,4
-0.83113,-0.97858,0.37253,0.97763,-0.03653,-0.72060,1.48700,-1.46879,0.08284,3,4,1,5,2
-1.52862,-1.27685,-0.38276,-0.95309,-1.24342,0.16246,1.00846,1.22086,-1.24630,4,3,2,1,5
0.05721,1.01221,1.31577,0.66277,0.84530,-0.30340,-1.40855,1.28663,0.16960,2,4,5,1,3
1.42443,-0.13232,-0.05558,0.11261,0.59977,0.22852,-0.42719,1.20355,0.45070,2,4,5,1,3
-1.27878,0.24226,-1.23202,-1.38214,-0.76619,0.52751,1.15757,0.44200,0.22513,5,2,1,3,4
