8192,6,5
-0.25415,-0.37155,-0.77761,-0.54015,-0.22469,-0.35675,5,3,2,4,1
-0.34786,-0.43846,-0.08651,-0.02754,-0.30570,-0.59873,2,4,3,1,5
0.79545,2.13751,0.91801,0.23882,0.09934,-0.19543,4,1,2,3,5
-0.27289,-0.43846,1.47812,0.22877,0.16788,-0.36078,3,1,2,4,5
0.42059,1.40152,1.00555,0.19359,0.58538,0.28855,2,3,1,4,5
-0.27289,-0.40500,-0.37605,-0.39441,-0.39294,-0.59873,5,2,3,4,1
-0.31038,-0.43846,-1.02308,-0.73113,-0.64219,0.44987,1,4,3,2,5
-0.23540,-0.27119,-0.59091,0.14836,-0.18730,-0.59873,5,2,1,4,3
2.61350,0.89971,0.08367,0.44487,0.69755,-0.35675,4,2,1,3,5
-0.34786,-0.43846,0.62174,0.30415,0.12426,-0.35675,3,1,2,4,5
-0.19792,-0.33809,-0.41645,-0.52508,-0.31193,-0.27609,4,1,2,3,5
-0.16043,-0.37155,-0.37911,-0.67585,-0.21846,-0.59873,4,5,1,2,3
-0.32912,-0.40500,1.89499,0.98261,0.77232,-0.67940,3,5,1,2,4
-0.25415,-0.37155,-0.16302,-0.44969,-0.23715,-0.51807,4,5,3,1,2
2.85716,3.34186,-0.53827,-0.19841,-0.10006,-0.51807,3,2,4,1,5
1.17031,1.03352,0.02184,-0.27380,1.07766,-0.51807,4,3,2,1,5
0.32688,1.20079,1.44506,2.32445,1.91266,0.28855,4,2,1,3,5
-0.12295,-0.03701,0.33832,1.24897,0.40468,-0.51807,4,2,1,3,5
0.08322,0.63208,-1.15530,-0.85174,-0.76682,0.04656,3,5,4,2,1
0.88917,2.57241,-0.27933,-0.39944,-0.55495,-0.27609,1,5,4,2,3
-0.08546,-0.27119,-0.31300,0.66600,0.36729,-0.35675,3,4,1,2,5
-0.29163,-0.43846,-0.20649,-0.00744,0.31120,0.20788,5,3,4,1,2
-0.17918,-0.30464,0.87394,0.00764,0.11180,-0.27609,5,2,1,4,3
-0.16043,-0.23773,1.35202,-0.12805,0.09311,0.76848,1,5,3,2,4
